     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     0.919 10130615  36  74
     0.000     0.000     1.000     0.000     0.000     0.478     0.001     0.521     3.000     1.199 10140701  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140702  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140703  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140704  47  99
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.199 10140705  47  99
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.199 10140706  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140707  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140708  47  99
     0.000     0.000     0.000     0.000     1.000     0.680     0.001     0.319     1.000     1.199 10140709  47  99
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     1.199 10140710  47  99
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.199 10140711  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140712  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140713  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140714  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140715  47  99
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.199 10140716  47  99
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     2.443 10150601   3   5
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     2.443 10150602   3   5
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     2.443 10150607   3   5
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     2.443 10150608   3   5
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     2.443 10150609   3   5
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     2.443 10150611   3   5
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     2.443 10150612   3   5
     1.000     1.000     1.000     1.000     0.000     0.041     0.959     0.000     2.000     1.084 10160201  48 101
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.084 10160202  48 101
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.084 10160203  48 101
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.084 10160204  48 101
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.084 10160205  48 101
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.084 10160206  48 101
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.084 10160207  48 101
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     1.084 10160208  48 101
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.084 10160209  48 101
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.084 10160210  48 101
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.084 10160211  48 101
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.042 10170101  69 148
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.042 10170102  69 148
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.042 10170103  69 148
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.042 10170104  69 148
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.042 10170105  69 148
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.042 10170106  69 148
     0.000     0.000     0.000     1.000     0.000     0.415     0.000     0.585     3.000     1.042 10170107  69 148
     0.000     0.000     0.000     0.000     0.000     0.102     0.000     0.898     3.000     1.042 10170108  69 148
     0.000     0.000     0.000     1.000     1.000     0.928     0.002     0.070     1.000     1.042 10170110  69 148
